# Date: 27 August 2016
#
# from https://docs.google.com/spreadsheets/d/1txhi8XYKFMkCaOOFMI2z1tQkNwhzkUN-htofj-oJ1GM/edit
# 366 entries
# 
# Format: Codepoint ; Platform count # Character Name
#
# 5 entries from that spreadsheet are already in http://www.unicode.org/Public/emoji/4.0/emoji-data.txt
 002A ; 1 # * Asterisk 
1F59C ; 1 # 🖜 Black Left Pointing Backhand Index 
1F59D ; 1 # 🖝 Black Right Pointing Backhand Index 
1F59E ; 1 # 🖞 Sideways White Up Pointing Index 
1F59F ; 1 # 🖟 Sideways White Down Pointing Index 
1F5A0 ; 1 # 🖠 Sideways Black Up Pointing Index 
1F5A1 ; 1 # 🖡 Sideways Black Down Pointing Index 
1F5A2 ; 1 # 🖢 Black Up Pointing Backhand Index 
1F5A3 ; 1 # 🖣 Black Down Pointing Backhand Index 
1F5A6 ; 1 # 🖦 Keyboard and Mouse 
1F5A7 ; 1 # 🖧 Three Networked Computers 
1F5A9 ; 1 # 🖩 Pocket Calculator 
1F5AA ; 1 # 🖪 Black Hard Shell Floppy Disk 
1F5AB ; 1 # 🖫 White Hard Shell Floppy Disk 
1F5AC ; 1 # 🖬 Soft Shell Floppy Disk 
1F5AD ; 1 # 🖭 Tape Cartridge 
1F5AE ; 1 # 🖮 Wired Keyboard 
1F5AF ; 1 # 🖯 One Button Mouse 
1F5B0 ; 1 # 🖰 Two Button Mouse 
1F5B3 ; 1 # 🖳 Old Personal Computer 
1F5B4 ; 1 # 🖴 Hard Disk 
1F5B5 ; 1 # 🖵 Screen 
1F5B6 ; 1 # 🖶 Printer Icon 
1F5B7 ; 1 # 🖷 Fax Icon 
1F5B8 ; 1 # 🖸 Optical Disc Icon 
1F5B9 ; 1 # 🖹 Document with Text 
1F5BA ; 1 # 🖺 Document with Text and Picture 
1F5BB ; 1 # 🖻 Document with Picture 
1F5BD ; 1 # 🖽 Frame with Tiles 
1F5BE ; 1 # 🖾 Frame with an X 
1F5BF ; 1 # 🖿 Black Folder 
