# emoji-candidate-symbols.txt
# Date: 2016-08-27
#
# Filter:
# General Category = Other_Symbol (So), 
# Bidirectional Category = Other_Neutral (ON),
# Script = Common,
# Emoji = No
#
# 1989 code points as of Unicode 9.0 and Emoji 4.0
#
# Format: 
# codepoint ; property(=Yes) # comments 
#
# Characters and sequences are listed in code point order.
# Users should be shown a more natural order.
#
 00A6 ; ideograph # ¦
 2310 ; ideograph # ⌐
 2311 ; ideograph # ⌑
 2312 ; ideograph # ⌒
 2313 ; ideograph # ⌓
 2314 ; ideograph # ⌔
 2315 ; ideograph # ⌕
 2316 ; ideograph # ⌖
 2317 ; ideograph # ⌗
 2318 ; ideograph # ⌘
 2319 ; ideograph # ⌙
 231C ; ideograph # ⌜
 231D ; ideograph # ⌝
 231E ; ideograph # ⌞
 231F ; ideograph # ⌟
 2322 ; ideograph # ⌢
 2323 ; ideograph # ⌣
 2324 ; ideograph # ⌤
 2325 ; ideograph # ⌥
 2326 ; ideograph # ⌦
 2327 ; ideograph # ⌧
 232B ; ideograph # ⌫
 232C ; ideograph # ⌬
 232D ; ideograph # ⌭
 232E ; ideograph # ⌮
 232F ; ideograph # ⌯
 2330 ; ideograph # ⌰
 2331 ; ideograph # ⌱
 2332 ; ideograph # ⌲
 2333 ; ideograph # ⌳
 2334 ; ideograph # ⌴
 2335 ; ideograph # ⌵
 237B ; ideograph # ⍻
 237D ; ideograph # ⍽
 237E ; ideograph # ⍾
 237F ; ideograph # ⍿
 2380 ; ideograph # ⎀
 2381 ; ideograph # ⎁
 2382 ; ideograph # ⎂
 2383 ; ideograph # ⎃
 2384 ; ideograph # ⎄
 2385 ; ideograph # ⎅
 2386 ; ideograph # ⎆
 2387 ; ideograph # ⎇
 2388 ; ideograph # ⎈
 2389 ; ideograph # ⎉
 238A ; ideograph # ⎊
 238B ; ideograph # ⎋
 238C ; ideograph # ⎌
 238D ; ideograph # ⎍
 238E ; ideograph # ⎎
 238F ; ideograph # ⎏
 2390 ; ideograph # ⎐
 2391 ; ideograph # ⎑
 2392 ; ideograph # ⎒
 2393 ; ideograph # ⎓
 2394 ; ideograph # ⎔
 2396 ; ideograph # ⎖
 2397 ; ideograph # ⎗
 2398 ; ideograph # ⎘
 2399 ; ideograph # ⎙
 239A ; ideograph # ⎚
 23B4 ; ideograph # ⎴
 23B5 ; ideograph # ⎵
 23B6 ; ideograph # ⎶
 23B7 ; ideograph # ⎷
 23B8 ; ideograph # ⎸
 23B9 ; ideograph # ⎹
 23BA ; ideograph # ⎺
 23BB ; ideograph # ⎻
 23BC ; ideograph # ⎼
 23BD ; ideograph # ⎽
 23BE ; ideograph # ⎾
 23BF ; ideograph # ⎿
 23C0 ; ideograph # ⏀
 23C1 ; ideograph # ⏁
 23C2 ; ideograph # ⏂
 23C3 ; ideograph # ⏃
 23C4 ; ideograph # ⏄
 23C5 ; ideograph # ⏅
 23C6 ; ideograph # ⏆
 23C7 ; ideograph # ⏇
 23C8 ; ideograph # ⏈
 23C9 ; ideograph # ⏉
 23CA ; ideograph # ⏊
 23CB ; ideograph # ⏋
 23CC ; ideograph # ⏌
 23CD ; ideograph # ⏍
 23CE ; ideograph # ⏎
 23D0 ; ideograph # ⏐
 23D1 ; ideograph # ⏑
 23D2 ; ideograph # ⏒
 23D3 ; ideograph # ⏓
 23D4 ; ideograph # ⏔
 23D5 ; ideograph # ⏕
 23D6 ; ideograph # ⏖
 23D7 ; ideograph # ⏗
 23D8 ; ideograph # ⏘
 23D9 ; ideograph # ⏙
 23DA ; ideograph # ⏚
 23DB ; ideograph # ⏛
 23E2 ; ideograph # ⏢
 23E3 ; ideograph # ⏣
 23E4 ; ideograph # ⏤
 23E5 ; ideograph # ⏥
 23E6 ; ideograph # ⏦
 23E7 ; ideograph # ⏧
 23E8 ; ideograph # ⏨
 23F4 ; ideograph # ⏴
 23F5 ; ideograph # ⏵
 23F6 ; ideograph # ⏶
 23F7 ; ideograph # ⏷
 23FB ; ideograph # ⏻
 23FC ; ideograph # ⏼
 23FD ; ideograph # ⏽
 23FE ; ideograph # ⏾
 2400 ; letter-like # ␀
 2401 ; letter-like # ␁
 2402 ; letter-like # ␂
 2403 ; letter-like # ␃
 2404 ; letter-like # ␄
 2405 ; letter-like # ␅
 2406 ; letter-like # ␆
 2407 ; letter-like # ␇
 2408 ; letter-like # ␈
 2409 ; letter-like # ␉
 240A ; letter-like # ␊
 240B ; letter-like # ␋
 240C ; letter-like # ␌
 240D ; letter-like # ␍
