ID	Name	Codepoint
0282	HEAVY DOLLAR SIGN	U+1F4B2
0283	CREDIT CARD	U+1F4B3
0284	BANKNOTE WITH YEN SIGN	U+1F4B4
0285	BANKNOTE WITH DOLLAR SIGN	U+1F4B5
0286	MONEY WITH WINGS	U+1F4B8
0287	REGIONAL INDICATOR SYMBOL LETTERS JP	U+1F1EF-U+1F1F5
0288	REGIONAL INDICATOR SYMBOL LETTERS US	U+1F1FA-U+1F1F8
0289	REGIONAL INDICATOR SYMBOL LETTERS FR	U+1F1EB-U+1F1F7
0290	REGIONAL INDICATOR SYMBOL LETTERS DE	U+1F1E9-U+1F1EA
0291	REGIONAL INDICATOR SYMBOL LETTERS IT	U+1F1EE-U+1F1F9
0292	REGIONAL INDICATOR SYMBOL LETTERS GB	U+1F1EC-U+1F1E7
0293	REGIONAL INDICATOR SYMBOL LETTERS ES	U+1F1EA-U+1F1F8
0294	REGIONAL INDICATOR SYMBOL LETTERS RU	U+1F1F7-U+1F1FA
0295	REGIONAL INDICATOR SYMBOL LETTERS CN	U+1F1E8-U+1F1F3
0296	REGIONAL INDICATOR SYMBOL LETTERS KR	U+1F1F0-U+1F1F7
0297	CAMERA	U+1F4F7
0298	HANDBAG	U+1F45C
0299	POUCH	U+1F45D
0300	BELL	U+1F514
0301	DOOR	U+1F6AA
0302	PILE OF POO	U+1F4A9
0303	PISTOL	U+1F52B
0304	FIRE	U+1F525
0305	CRYSTAL BALL	U+1F52E
0306	SIX POINTED STAR WITH MIDDLE DOT	U+1F52F
0307	VIDEO CAMERA	U+1F4F9
0308	HOCHO	U+1F52A
0309	ELECTRIC TORCH	U+1F526
0310	BATTERY	U+1F50B
0311	SCROLL	U+1F4DC
0312	ELECTRIC PLUG	U+1F50C
0313	GREEN BOOK	U+1F4D7
0314	BLUE BOOK	U+1F4D8
0315	ORANGE BOOK	U+1F4D9
0316	CLOSED BOOK	U+1F4D5
0317	BOOKS	U+1F4DA
0318	NAME BADGE	U+1F4DB
0319	BATH	U+1F6C0
0320	RESTROOM	U+1F6BB
0321	TOILET	U+1F6BD
0322	WATER CLOSET	U+1F6BE
0323	SYRINGE	U+1F489
0324	PILL	U+1F48A
0325	NEGATIVE SQUARED LATIN CAPITAL LETTER A	U+1F170
0326	NEGATIVE SQUARED LATIN CAPITAL LETTER B	U+1F171
0327	NEGATIVE SQUARED AB	U+1F18E
0328	NEGATIVE SQUARED LATIN CAPITAL LETTER O	U+1F17E
0329	RIBBON	U+1F380
